year,visits,pa
2007,7714,pa_total
2008,12226,pa_total
2009,68761,pa_total
2010,123315,pa_total
2011,303686,pa_total
2012,298910,pa_total
2013,355681,pa_total
2014,420166,pa_total
2015,518218,pa_total
2016,734874,pa_total
2017,954692,pa_total
2018,1108503,pa_total
2019,1199011,pa_total
2020,240268,pa_total
2014,39417,Lagodekhi Protected Areas
2015,44065,Lagodekhi Protected Areas
2016,49590,Lagodekhi Protected Areas
2017,55519,Lagodekhi Protected Areas
2016,2062,Machakhela National Park
2017,5092,Machakhela National Park
