n,Year_Month,citizen_ge,visitor_type_en,pa_ge,pa_en,visits
1,2014-02,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,43
2,2014-03,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,93
3,2014-04,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,113
4,2014-05,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,333
5,2014-06,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,883
6,2014-07,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1514
7,2014-08,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,2772
8,2014-09,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1650
9,2014-10,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,603
10,2014-11,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,96
11,2014-03,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,11
12,2014-04,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,23
13,2014-05,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,50
14,2014-06,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,60
15,2014-07,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,156
16,2014-08,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,236
17,2014-09,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,144
18,2014-10,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,42
19,2014-11,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,6
20,2015-01,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,5
21,2015-02,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,84
22,2015-03,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,97
23,2015-04,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,219
24,2015-05,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,592
25,2015-06,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,805
26,2015-07,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1009
27,2015-08,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,2162
28,2015-09,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1197
29,2015-10,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,744
30,2015-11,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,505
31,2015-12,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,167
32,2015-02,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,18
33,2015-03,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,12
34,2015-04,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,42
35,2015-05,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,63
36,2015-06,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,36
37,2015-07,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,33
38,2015-08,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,83
39,2015-09,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,66
40,2015-10,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,67
41,2015-11,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,22
42,2015-12,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,2
43,2016-01,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,62
44,2016-02,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,213
45,2016-03,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,386
46,2016-04,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,610
47,2016-05,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1227
48,2016-06,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1207
49,2016-07,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1735
50,2016-08,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,6631
51,2016-09,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1339
52,2016-10,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,967
53,2016-11,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,964
54,2016-12,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,153
55,2016-01,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,7
56,2016-02,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,5
57,2016-03,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,5
58,2016-04,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,25
59,2016-05,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,34
60,2016-06,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,66
61,2016-07,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,92
62,2016-08,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,133
63,2016-09,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,128
64,2016-10,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,47
65,2016-11,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,33
66,2016-12,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,7
67,2017-01,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,102
68,2017-02,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,305
69,2017-03,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1120
70,2017-04,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1722
